Date,Daily Stoic,Daily Dad
2025-01-01,"January 1



“The chief task in life is simply this: to identify and separate matters so that I can say clearly to myself which are externals not under my control, and which have to do with the choices I actually control. Where then do I look for good and evil? Not to uncontrollable externals, but within myself to the choices that are my own . . .”

—
E
PICTETUS,
D
ISCOURSES
, 
 2.5.4–5

T
 he single most important practice in Stoic philosophy is differentiating between what we can change and what we can’t. What we have influence over and what we do not. A flight is delayed because of weather—no amount of yelling at an airline representative will end a storm. No amount of wishing will make you taller or shorter or born in a different country. No matter how hard you try, you can’t make
 someone like you. And on top of that, time spent hurling yourself at these immovable objects is time not spent on the things we can
 change.

The recovery community practices something called the Serenity Prayer: “God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.” Addicts cannot change the abuse suffered in childhood. They cannot undo the choices they have made or the hurt they have caused. But they can
 change the future—through the power they have in the present moment. As Epictetus said, they can control the choices they make right now.

The same is true for us today. If we can focus on making clear what parts of our day are within our control and what parts are not, we will not only be happier, we will have a distinct advantage over other people who fail to realize they are fighting an unwinnable battle.","January 1

A Little Fellow Follows You

In 1939, nine years before John Wooden would be hired to coach the UCLA men’s basketball team, a friend sent him a picture with a poem on it to celebrate the birth of Wooden’s first child. The picture is a man on a beach whose son is running behind him, playing in his footsteps in the sand. Wooden hung the picture in his home so he might see it every day. The poem, which he memorized and liked to give as a gift, went as follows:

A careful man I want to be—

a little fellow follows me.

I do not dare to go astray,

for fear he’ll go the self-same way.

I cannot once escape his eyes.

Whatever he sees me do he tries.

Like me he says he’s going to be—

that little chap who follows me . . .

You don’t have to memorize these words as Wooden did, but you better internalize their message. Your children follow behind you. They see everything you do. If you go astray, so too will they."
2025-01-02,"January 2



“What is the fruit of these teachings? Only the most beautiful and proper harvest of the truly educated—tranquility, fearlessness, and freedom. We should not trust the masses who say only the free can be educated, but rather the lovers of wisdom who say that only the educated are free.”

—
E
PICTETUS,
D
ISCOURSES
, 
 2.1.21–23
a

W
 hy did you pick up this book? Why pick up any book? Not to seem smarter, not to pass time on the plane, not to hear what you want to hear—there are plenty of easier choices than reading.

No, you picked up this book because you are learning how to live. Because you want to be freer, fear less, and achieve a state of peace. Education—reading and meditating on the wisdom of great minds—is not to be done for its own sake. It has a purpose.

Remember that imperative on the days you start to feel distracted, when watching television or having a snack seems like a better use of your time than reading or studying philosophy. Knowledge—self-knowledge in particular—is freedom.","January 2

Never Let Them See You Act Like This

I think of myself as a philosopher only in the sense of being able to set an example.

—Friedrich Nietzsche

There is a story in Seneca’s famous essay “On Anger” about a boy who at a very young age went to live in the house of Plato to study under the famous philosopher. Returning home to visit his parents, the boy witnessed his father lose his temper and yell at someone. Surprised by this violent outburst, and with the simple innocence that children are capable of, the boy said, “I never saw anyone at Plato’s house act like that.”

However we conduct ourselves in front of our children—particularly at home, in private—they will come to see as normal. If we are rude or unkind to our spouse, they will assume that is an appropriate way to treat people they love. If we are anxious and overly worried, they will come to think that the world is a scary place that must be feared. If we behave unethically or cynically, they too will begin to cheat and lie."
2025-01-03,"January 3



“How many have laid waste to your life when you weren’t aware of what you were losing, how much was wasted in pointless grief, foolish joy, greedy desire, and social amusements—how little of your own was left to you. You will realize you are dying before your time!”

—
S
ENECA,
O
N THE
B
REVITY OF
L
IFE
, 
 3.3
b

O
 ne of the hardest things to do in life is to say “No.” To invitations, to requests, to obligations, to the stuff that everyone else is doing. Even harder is saying no to certain time-consuming emotions: anger, excitement, distraction, obsession, lust. None of these impulses feels like a big deal by itself, but run amok, they become a commitment like anything else.

If you’re not careful, these are precisely the impositions that will overwhelm and consume your life. Do you ever wonder how you can get some of your time back, how you can feel less busy? Start by learning the power of “No!”—as in “No, thank you,” and “No, I’m not going to get caught up in that,” and “No, I just can’t right now.” It may hurt some feelings. It may turn people off. It may take some hard work.But the more you say no to the things that don’t matter, the more you can say yes to the things that do. This will let you live and enjoy your life—the life that you
 want.","January 3

Their Faults Are Your Faults

Don’t worry that children never listen to you; worry that they are always watching you.

—Robert Fulghum

Your kids can drive you nuts. The way they can push your buttons. The way they can ask an interminable number of questions. The way they can mimic you.

“I love him very dearly I guess because of his faults which are my faults,” the novelist John Steinbeck writes of his son. “I know where his pains and his panics come from.”

Our kids have our virtues and our vices. That’s what makes this whole crazy parenting thing such a wonderful opportunity. Because we are here to help them become the best possible versions of themselves. One of the ways we do that is to help them become like us in all the good ways. But one of the other ways is to prevent them from becoming too much like us in all the bad ways.

It can be an incredibly difficult balancing act if we aren’t honest or self-possessed, if we let our egos get in the way. We can’t let that happen. This is our chance, our time! To help them. To bolster them. To help them overcome flaws that maybe we never quite got over ourselves. To seize this second chance—to give what we didn’t get.

More than that, it’s a chance to understand."
2025-01-04,"January 4



“All you need are these: certainty of judgment in the present moment;

action for the common good in the present moment;

and an attitude of gratitude in the present moment for anything that comes your way.”

—
M
ARCUS
A
URELIUS,
M
EDITATIONS
, 
 9.6

P
 erception, Action, Will. Those are the three overlapping but critical disciplines of Stoicism (as well as the organization of this book and yearlong journey you’ve just begun). There’s more to the philosophy certainly—and we could spend all day talking about the unique beliefs of the various Stoics: “This is what Heraclitus thought . . .” “Zeno is from Citium, a city in Cyprus, and he believed . . .” But would such facts really help you day to day? What clarity does trivia provide?

Instead, the following little reminder sums up the three most essential parts of Stoic philosophy worth carrying with you every day, into every decision:

Control your perceptions.

Direct your actions properly.

Willingly accept what’s outside your control.

That’s all we need to do.","January 4

Show Them How to Keep Their Cool

In 1952, Margaret Thatcher’s father was driven out of office when a rival political party won a majority in the election. He was upset. He was hurt. And he could have allowed those emotions to drive how he reacted. But he didn’t.

Instead, Thatcher’s father made a statement of incredible restraint and dignity: “It is now almost nine years since I took up these robes in honor, and now I trust in honor they are laid down.” He added later, “Although I have toppled over I have fallen on my feet. My own feeling is that I was content to be in and I am content to be out.”

We could say that what he was doing was showing his daughter how to lose with grace. But it was much more than that. He was showing her that external circumstances don’t define us, only how we respond to them. He was showing her how to bear adversity and how to never surrender your poise or self-control. These would all be lessons that Thatcher would use throughout her tumultuous life as a public servant, a prime minister, and a mother.

Your kids will need them too. So show them. Show by example, not just with words. Show them, when you’ve been screwed over and it really hurts, that still your personal code of conduct matters more. Because it does. Because it will."
2025-01-05,"January 5



“Let all your efforts be directed to something, let it keep that end in view. It’s not activity that disturbs people, but false conceptions of things that drive them mad.”

—
S
ENECA,
O
N
T
RANQUILITY OF
M
IND
, 
 12.5

L
 aw 29 of The 48 Laws of Power
 is: Plan All The Way To The End. Robert Greene writes, “By planning to the end you will not be overwhelmed by circumstances and you will know when to stop. Gently guide fortune and help determine the future by thinking far ahead.” The second habit in The
7 Habits of Highly Effective People
 is: begin with an end in mind.

Having an end in mind is no guarantee that you’ll reach it—no Stoic would tolerate that assumption—but not
 having an end in mind is a guarantee you won’t. To the Stoics, oiêsis
 (false conceptions) are responsible not just for disturbances in the soul but for chaotic and dysfunctional lives and operations. When your efforts are not directed at a cause or a purpose, how will you know what to do day in and day out? How will you know what to say no to and what to say yes to? How will you know when you’ve had enough, when you’ve reached your goal, when you’ve gotten off track, if you’ve never defined what those things are?

The answer is that you cannot. And so you are driven into failure—or worse, into madness by the oblivion of directionlessness.","January 5

Which Will It Be?

In his Broadway show, Bruce Springsteen explained the choice presented to all parents:

We are ghosts or we are ancestors in our children’s lives. We either lay our mistakes, our burdens upon them, and we haunt them, or we assist them in laying those old burdens down, and we free them from the chain of our own flawed behavior. And as ancestors, we walk alongside of them, and we assist them in finding their own way and some transcendence.

Will you be a ghost or an ancestor to your children? Will you haunt them or guide them? Will you curse them or inspire them?

Of course, we all know which of those two we want to be, just as Bruce’s flawed father surely did. But then our demons, our issues, the ghosts of our own parents, get in the way.

That’s why we go to therapy and read good books. That’s why we stay up at night before bed talking to our spouse about how hard this parenting thing is, to exorcise those demons by bringing them into the light. It’s why, wordlessly, when we hold our kids, we promise ourselves to do better, to try harder, to not repeat the mistakes we endured growing up.

This isn’t going to be easy. We’re not going to be perfect. But we’re going to keep trying. We’re going to be an ancestor—someone who guides them and inspires them. We’re not going to haunt their future selves like a ghost."
2025-01-06,"January 6



“A person who doesn’t know what the universe is, doesn’t know where they are. A person who doesn’t know their purpose in life doesn’t know who they are or what the universe is. A person who doesn’t know any one of these things doesn’t know why they are here. So what to make of people who seek or avoid the praise of those who have no knowledge of where or who they are?”

—
M
ARCUS
A
URELIUS,
M
EDITATIONS
, 
 8.52

T
 he late comedian Mitch Hedberg had a funny story he told in his act. Sitting down for an on-air interview, a radio DJ asked him, “So, who are you?” In that moment, he had to think, Is this guy really deep or did I drive to the wrong station?

How often are we asked a simple question like “Who are you?” or “What do you do?” or “Where are you from?” Considering it a superficial question—if we even consider it at all—we don’t bother with more than a superficial answer.

But, gun to their head, most people couldn’t give much in the way of a substantive answer. Could you? Have you taken the time to get clarity about who you are and what you stand for? Or are you too busy chasing unimportant things, mimicking the wrong influences, and following disappointing or unfulfilling or nonexistent paths?","January 6

Hang Their Pictures on Your Wall

He could not have known what the future would hold. He could not have known how he and his country would soon be tested. But in 2019, Volodymyr Zelenskyy gave a twenty-minute presidential inaugural address to the people of Ukraine that foreshadowed how he would respond.

Despite being one of his country’s greatest success stories, making a fortune in the entertainment business and then holding its highest office, Zelenskyy asked not to be celebrated or held up as a model. “I really do not want my pictures in your offices, for the president is not an icon, an idol, or a portrait,” he said. “Hang your kids’ photos instead, and look at them each time you are making a decision.”

Then, in February 2022, in an act of brutal illegality and avarice, Russia invaded Ukraine. Zelenskyy stood and fought, refusing opportunities to be rescued. What could be motivating him? His own advice. He has two children, ages eighteen and ten, whom he fights for. The Ukrainian military and its citizen-soldiers were similarly motivated—fighting valiantly alongside him against incredible odds for the chance that their children might live in freedom and live proudly, knowing that when it counted, their parents were prepared to sacrifice everything on their behalf.

Each of us should be inspired and humbled by this example. But as Zelenskyy said, we don’t need to put pictures of heroes on our wall. Instead, we can hang up pictures of our children and strive to make them proud, and this should inspire and fortify us when we have to make tough decisions for their future, for their safety, for their freedom.

It is our kids who compel us to do the right thing . . . because they are always watching."
2025-01-07,"January 7



“The proper work of the mind is the exercise of choice, refusal, yearning, repulsion, preparation, purpose, and assent. What then can pollute and clog the mind’s proper functioning? Nothing but its own corrupt decisions.”

—
E
PICTETUS,
D
ISCOURSES
, 
 4.11.6–7

Let’s break down each one of those tasks:

Choice—to do and think right

Refusal—of temptation

Yearning—to be better

Repulsion—of negativity, of bad influences, of what isn’t true

Preparation—for what lies ahead or whatever may happen

Purpose—our guiding principle and highest priority

Assent—to be free of deception about what’s inside and outside our control (and be ready to accept the latter)

This is what the mind is here to do. We must make sure that it does—and see everything else as pollution or a corruption.","January 7

They Learn from Home

It is constantly reiterated that education begins in the home, but what is often forgotten is that morality begins in the home also.

—Louis L’Amour

You tell them to be good. To be honest. To follow the law. To care about other people. That safety comes first.

You say these things, but what do you do?

You can’t say that you care about other people and then speed through stop signs because you’re late. You can’t tell your kids that honesty is important and then lie to get out of the ticket. What’s worth more to you, avoiding a fine or living your values? That’s what you have to ask yourself in every situation, particularly the ones where your kids are watching. Is getting what you want worth teaching the wrong lesson and undermining the values you are trying to instill?

Those kids buckled in behind you—they are absorbing your example and assimilating the lessons that will shape them in the smallest and biggest of ways. From the kind of driver they are going to be to the kind of person they are going to be. They are watching you as you go through the world. Right now. They’re watching you break traffic laws, break promises. They hear you when you lie. They feel it when your actions don’t match your words.

Kids learn from home. They learn in the car. They learn from Mom and Dad. You set the standard, so be the standard."
2025-01-08,"January 8



“We must give up many things to which we are addicted, considering them to be good. Otherwise, courage will vanish, which should continually test itself. Greatness of soul will be lost, which can’t stand out unless it disdains as petty what the mob regards as most desirable.

—
S
ENECA,
M
ORAL
L
ETTERS
, 
 74.12
b
–13

W
 hat we consider to be harmless indulgences can easily become full-blown addictions. We start with coffee in the morning, and soon enough we can’t start the day without it. We check our email because it’s part of our job, and soon enough we feel the phantom buzz of the phone in our pocket every few seconds. Soon enough, these harmless habits are running our lives.

The little compulsions and drives we have not only chip away at our freedom and sovereignty, they cloud our clarity. We think we’re in control—but are we really? As one addict put it, addiction is when we’ve “lost the freedom to abstain.” Let us reclaim that freedom.

What that addiction is for you can vary: Soda? Drugs? Complaining? Gossip? The Internet? Biting your nails? But you must reclaim the ability to abstain because within it is your clarity and self-control.","January 8

How Are You Embodying Your Values?

On April 1, 1933, shortly after coming to power in Germany, the Nazis held a boycott of all Jewish businesses. It was the first small persecution of many to come. But too many mothers and fathers who had talked to their kids about doing the right thing simply went along with it.

Not everyone, of course. Dietrich Bonhoeffer’s ninety-nine-year-old grandmother, for instance. On that day, she was out shopping and she refused to be told whose businesses she could support. She ignored or dodged the Nazi troops stationed in front of stores and shopped wherever she liked. Their grandmother “marching past Nazi gorillas” came to be seen in the Bonhoeffer family as “an embodiment of the values they sought to live by.”

That embodiment wasn’t lost on Dietrich, who ten years later would lose his life plotting to assassinate Hitler. Even though he was a pastor, even though he had plenty of opportunities to escape Germany and live in peace and freedom in London or America, he stayed. His grandmother’s example guided him, showed him how to live by his values.

Let the same be true for you and your children, whatever the future holds, big or small."
2025-01-09,"January 9



“Some things are in our control, while others are not. We control our opinion, choice, desire, aversion, and, in a word, everything of our own doing. We don’t control our body, property, reputation, position, and, in a word, everything not of our own doing. Even more, the things in our control are by nature free, unhindered, and unobstructed, while those not in our control are weak, slavish, can be hindered, and are not our own.”

—
E
PICTETUS,
E
NCHIRIDION
, 
 1.1–2

T
 oday, you won’t control the external events that happen. Is that scary? A little, but it’s balanced when we see that we can control our opinion about
 those events. You decide whether they’re good or bad, whether they’re fair or unfair. You don’t control the situation, but you control what you think
 about it.

See how that works? Every single thing that is outside your control—the outside world, other people, luck, karma, whatever—still presents a corresponding area that is
 in your control. This alone gives us plenty to manage, plenty of power.

Best of all, an honest understanding of what is within our control provides real clarity about the world: all we have is our own mind. Remember that today when you try to extend your reach outward—that it’s much better and more appropriately directed inward.","January 9

Protect This Great Invention

The author, educator, and cultural critic Neil Postman points out in The Disappearance of Childhood that childhood is a social construct. Genetic expression makes no distinction between who is a child and who isn’t. Children, as we understand them, have existed for less than four hundred years. “The idea of childhood is one of the great inventions of the Renaissance,” he writes, because it allowed children to develop, to learn, to have a safe space to play and explore and discover themselves.

Like any invention, childhood can disappear. How? With the disappearance of adulthood. Childhood, as both a social structure and a psychological condition, works when things like maturity, responsibility, literacy, and critical thinking mark an adult. But when things like long-form writing and reading decline, the gap between child and adult shrinks; the line between them blurs and then dissolves.

As parents, we have to protect this great invention. We have to increase the gap between childhood and adulthood. Let them be kids . . . but also make sure that you are being an adult. Be a leader. Be responsible. Be an example, a model they have to strive toward. Let them see you with a book they can’t yet comprehend. Let them be around adult conversations they can’t quite understand. Let them see you working and sweating and providing.

Let them see an adult—so they have something not just to look up to but to look forward to as well."
2025-01-10,"January 10



“The essence of good is a certain kind of reasoned choice; just as the essence of evil is another kind. What about externals, then? They are only the raw material for our reasoned choice, which finds its own good or evil in working with them. How will it find the good? Not by marveling at the material! For if judgments about the material are straight that makes our choices good, but if those judgments are twisted, our choices turn bad.”

—
E
PICTETUS,
D
ISCOURSES
, 
 1.29.1–3

T
 he Stoics seek steadiness, stability, and tranquility—traits most of us aspire to but seem to experience only fleetingly. How do they accomplish this elusive goal? How does one embody eustatheia
 (the word Arrian used to describe this teaching of Epictetus)?

Well, it’s not luck. It’s not by eliminating outside influences or running away to quiet and solitude. Instead, it’s about filtering the outside world through the straightener of our judgment. That’s what our reason can do—it can take the crooked, confusing, and overwhelming nature of external events and make them orderly.

However, if our judgments are crooked because we don’t use reason, then everything that follows will be crooked, and we will lose our ability to steady ourselves in the chaos and rush of life. If you want to be steady, if you want clarity, proper judgment is the best way.","January 10

Your Living Is the Teaching

Example is not the main thing in influencing others. It is the only thing.

—Albert Schweitzer

Socrates’s students said of their teacher that for all the genius he possessed, Plato and Aristotle and all the other sages who learned from him “derived more benefit from [his] character than [his] words.” So it was for Zeno and Cleanthes, the two earliest Stoic philosophers. “Cleanthes could not have been the express image of Zeno,” Seneca wrote, “if he had merely heard his lectures; he shared in his life, saw into his hidden purposes, and watched him to see whether he lived according to his own rules.”

Is there a better description—a better bar to set—for a parent than this? If you want to teach your kids, it’s not going to be with words. It’s not going to be with lectures. It’s going to be through showing them that you live according to the rules you set and the values you are trying to tell them are important."
